text,rating,date
"Disappointed with the your followers, needs improvement.",1,2025-02-15
I hate how the 24 hours keeps crashing.,1,2025-04-29
App keeps crashing on my phone.,2,2025-01-01
set privacy is exactly what I needed. Great job!,4,2025-01-19
Love it!,5,2025-03-21
"Not sure about the post stories, it's a bit hit or miss.",3,2025-03-19
"Average set privacy, does what it's supposed to do.",3,2025-03-15
your location is buggy and frustrating to use.,1,2025-02-24
I'm really enjoying the your favorite celebrities in this update.,4,2025-01-19
Worth the download.,1,2024-11-27
"Terrible app, don't waste your time.",5,2025-02-07
Needs improvement.,5,2025-02-15
I'm really enjoying the specific interests in this update.,4,2024-11-19
create groups is exactly what I needed. Great job!,5,2025-04-28
Not worth the storage space.,1,2024-11-21
The set privacy is functional but basic.,3,2025-02-10
Simple and easy to use.,4,2025-03-13
This app would be good if the customize profile actually worked.,1,2024-12-30
Can't get the follow celebrities to work properly. Uninstalling!,1,2025-01-14
"Average our social networking app, does what it's supposed to do.",3,2025-03-05
"Terrible app, don't waste your time.",4,2025-04-28
"The follow celebrities is amazing, best app I've used.",5,2025-05-12
This app has a great set privacy that makes everything easier.,4,2025-04-06
Love it!,5,2025-01-10
I'm really enjoying the specific interests in this update.,5,2024-12-11
"Not sure about the your followers, it's a bit hit or miss.",3,2025-02-04
The our social networking app is too complicated and confusing.,2,2024-12-08
Love it!,1,2024-11-30
Can't get it to work properly.,5,2024-12-03
"The set privacy works flawlessly, very impressed.",4,2025-03-30
This app has a great your location that makes everything easier.,5,2025-02-06
I have mixed feelings about the your location.,3,2025-02-05
create groups is exactly what I needed. Great job!,5,2025-02-19
This app has a great specific interests that makes everything easier.,5,2025-03-12
"The new content works flawlessly, very impressed.",4,2025-05-04
I love the follow celebrities! It works perfectly.,4,2025-03-16
"The follow celebrities works flawlessly, very impressed.",5,2025-01-30
Needs improvement.,3,2025-05-10
The share photos is too complicated and confusing.,1,2025-05-12
Finally an app with a good your favorite celebrities. Five stars!,4,2025-05-10
I hate how the your content keeps crashing.,2,2025-03-09
App keeps crashing on my phone.,2,2025-03-26
Works well on my device.,5,2025-04-19
Love it!,1,2024-12-29
This app would be good if the post stories actually worked.,2,2024-11-27
The your profile is functional but basic.,3,2025-03-11
"Terrible app, don't waste your time.",1,2024-12-19
I love the customize profile! It works perfectly.,4,2025-04-27
Finally an app with a good see content. Five stars!,4,2025-03-16
This app is great!,5,2025-02-06
Needs improvement.,5,2025-04-11
App keeps crashing on my phone.,3,2024-12-12
This app has a great share photos that makes everything easier.,5,2025-03-09
"The customize profile is amazing, best app I've used.",4,2024-12-18
I love the your followers! It works perfectly.,4,2025-04-14
discover content is exactly what I needed. Great job!,5,2025-04-27
Simple and easy to use.,4,2024-12-02
Not worth the storage space.,1,2025-01-01
discover content is exactly what I needed. Great job!,4,2025-03-02
The discover content is too complicated and confusing.,1,2025-01-17
I hate how the 24 hours keeps crashing.,1,2025-04-30
your content is exactly what I needed. Great job!,5,2025-02-13
"Great customize profile, intuitive and easy to use!",4,2025-03-22
Can't get the your profile to work properly. Uninstalling!,1,2024-12-03
This app is great!,2,2025-03-04
"The post stories works, but it's nothing special.",3,2025-04-04
This app is great!,5,2025-03-26
This app would be good if the share photos actually worked.,1,2025-03-16
Needs improvement.,5,2025-04-14
Can't get it to work properly.,4,2025-03-01
Love it!,1,2025-04-10
Works well on my device.,1,2024-12-26
This app has a great your content that makes everything easier.,4,2024-12-18
I hate how the your profile keeps crashing.,1,2025-04-04
This app is great!,3,2025-03-28
App keeps crashing on my phone.,1,2024-11-26
The our personalized recommendation system is functional but basic.,3,2025-04-03
I'm really enjoying the customize profile in this update.,5,2025-01-31
This app is great!,3,2024-12-08
The new content is functional but basic.,3,2025-04-17
The your location is full of glitches. Fix it please!,2,2025-04-04
This app has a great see content that makes everything easier.,5,2024-12-28
"The your favorite celebrities is terrible, doesn't work at all.",2,2025-01-23
"Disappointed with the our personalized recommendation system, needs improvement.",2,2024-12-14
I have mixed feelings about the specific interests.,3,2025-01-25
new content is exactly what I needed. Great job!,4,2025-03-25
"The our social networking app is amazing, best app I've used.",4,2025-03-19
Simple and easy to use.,4,2025-01-29
The your profile is functional but basic.,3,2025-01-02
"Great share photos, intuitive and easy to use!",4,2025-03-20
Needs improvement.,2,2025-03-30
Love it!,2,2025-05-10
Finally an app with a good share photos. Five stars!,4,2025-01-02
This app is great!,1,2025-01-23
I have mixed feelings about the your favorite celebrities.,3,2024-11-16
I have mixed feelings about the see content.,3,2025-01-17
I hate how the follow celebrities keeps crashing.,2,2025-04-13
The our personalized recommendation system is full of glitches. Fix it please!,2,2024-12-25
share photos is exactly what I needed. Great job!,5,2025-05-05
"The 24 hours works flawlessly, very impressed.",4,2025-04-03
Can't get it to work properly.,5,2024-11-28
The post stories is full of glitches. Fix it please!,1,2024-12-29
"The your followers is okay, but could be better.",3,2025-02-22
Finally an app with a good your content. Five stars!,4,2025-05-11
This app would be good if the follow celebrities actually worked.,2,2025-02-19
your content is exactly what I needed. Great job!,5,2025-01-29
Love it!,5,2025-01-11
The your profile is too complicated and confusing.,2,2025-04-11
Simple and easy to use.,5,2025-01-09
Too many ads!,3,2025-03-25
The our social networking app is functional but basic.,3,2024-11-29
The private messaging is functional but basic.,3,2025-05-10
Works well on my device.,4,2025-02-08
Simple and easy to use.,5,2025-01-01
Finally an app with a good create groups. Five stars!,4,2025-03-04
Too many ads!,2,2025-03-15
"Disappointed with the new content, needs improvement.",1,2024-11-25
"Disappointed with the private messaging, needs improvement.",1,2025-03-05
Finally an app with a good follow celebrities. Five stars!,5,2025-05-06
"I'm using the your profile occasionally, it's decent.",3,2025-04-08
Works well on my device.,3,2025-02-16
"The discover content is okay, but could be better.",3,2025-04-14
Simple and easy to use.,5,2024-11-18
Love it!,5,2025-02-01
This app is great!,4,2025-01-18
The discover content is functional but basic.,3,2025-04-13
"Disappointed with the our social networking app, needs improvement.",2,2025-01-16
Simple and easy to use.,1,2025-01-09
Can't get the discover content to work properly. Uninstalling!,1,2025-02-26
Worth the download.,2,2024-12-10
I have mixed feelings about the 24 hours.,3,2025-04-21
Finally an app with a good 24 hours. Five stars!,4,2025-04-14
Too many ads!,2,2025-01-17
create groups is buggy and frustrating to use.,1,2025-03-28
Works well on my device.,5,2025-02-24
Needs improvement.,5,2024-12-14
