feature,review,is_matched
access exclusive original content,I hate how the access exclusive original content keeps crashing.,1
access exclusive original content,This app has a great access exclusive original content that makes everything easier.,1
access exclusive original content,"The access exclusive original content is amazing, best app I've used.",1
access exclusive original content,This app would be good if the download content actually worked.,0
access exclusive original content,App keeps crashing on my phone.,0
access exclusive original content,the go is exactly what I needed. Great job!,0
access exclusive original content,I have mixed feelings about the tv shows.,0
access exclusive original content,Can't get it to work properly.,0
receive recommendations,receive recommendations is buggy and frustrating to use.,1
receive recommendations,"The receive recommendations is okay, but could be better.",1
receive recommendations,"Great receive recommendations, intuitive and easy to use!",1
receive recommendations,This app would be good if the receive recommendations actually worked.,1
receive recommendations,"Not sure about the receive recommendations, it's a bit hit or miss.",1
receive recommendations,App keeps crashing on my phone.,0
receive recommendations,I'm really enjoying the different family members in this update.,0
receive recommendations,I have mixed feelings about the browse content.,0
receive recommendations,The save data is full of glitches. Fix it please!,0
receive recommendations,Love it!,0
get notifications,get notifications is buggy and frustrating to use.,1
get notifications,"The get notifications works flawlessly, very impressed.",1
get notifications,"Disappointed with the get notifications, needs improvement.",1
get notifications,The get notifications is full of glitches. Fix it please!,1
get notifications,I love the get notifications! It works perfectly.,1
get notifications,"Average review movies, does what it's supposed to do.",0
get notifications,The browse content is functional but basic.,0
get notifications,I'm really enjoying the your favorite shows in this update.,0
get notifications,"The the go is amazing, best app I've used.",0
get notifications,I love the review movies! It works perfectly.,0
new episodes,"The new episodes is okay, but could be better.",1
new episodes,"The new episodes is okay, but could be better.",1
new episodes,"The new episodes is terrible, doesn't work at all.",1
new episodes,"I'm using the new episodes occasionally, it's decent.",1
new episodes,new episodes is exactly what I needed. Great job!,1
new episodes,"I'm using the enjoy streaming occasionally, it's decent.",0
new episodes,download content is exactly what I needed. Great job!,0
new episodes,The set profiles is full of glitches. Fix it please!,0
new episodes,your favorite shows is exactly what I needed. Great job!,0
new episodes,save data is exactly what I needed. Great job!,0
download content,"I'm using the download content occasionally, it's decent.",1
download content,download content is buggy and frustrating to use.,1
download content,Finally an app with a good download content. Five stars!,1
download content,The download content is full of glitches. Fix it please!,1
download content,This app would be good if the download content actually worked.,1
download content,Can't get the unlimited streaming to work properly. Uninstalling!,0
download content,Simple and easy to use.,0
download content,I love the review movies! It works perfectly.,0
download content,"Disappointed with the personalized recommendations, needs improvement.",0
download content,"The our platform works, but it's nothing special.",0
tv shows,I love the tv shows! It works perfectly.,1
tv shows,tv shows is exactly what I needed. Great job!,1
tv shows,This app has a great tv shows that makes everything easier.,1
tv shows,I have mixed feelings about the tv shows.,1
tv shows,"Disappointed with the tv shows, needs improvement.",1
tv shows,"Disappointed with the your favorite shows, needs improvement.",0
tv shows,"Average the go, does what it's supposed to do.",0
tv shows,This app has a great access exclusive original content that makes everything easier.,0
tv shows,The enjoy streaming is full of glitches. Fix it please!,0
tv shows,"I'm using the enjoy streaming occasionally, it's decent.",0
the go,"The the go is amazing, best app I've used.",1
the go,This app has a great the go that makes everything easier.,1
the go,"The the go is amazing, best app I've used.",1
the go,the go is exactly what I needed. Great job!,1
the go,"Average the go, does what it's supposed to do.",1
the go,"I'm using the new episodes occasionally, it's decent.",0
the go,This app has a great tv shows that makes everything easier.,0
the go,"The receive recommendations is okay, but could be better.",0
the go,This app would be good if the review movies actually worked.,0
the go,Simple and easy to use.,0
review movies,I love the review movies! It works perfectly.,1
review movies,This app would be good if the review movies actually worked.,1
review movies,This app would be good if the review movies actually worked.,1
review movies,I hate how the review movies keeps crashing.,1
review movies,I love the review movies! It works perfectly.,1
review movies,Worth the download.,0
review movies,The our platform is full of glitches. Fix it please!,0
review movies,enjoy streaming is buggy and frustrating to use.,0
review movies,I'm really enjoying the unlimited streaming in this update.,0
review movies,Needs improvement.,0
playback quality,The playback quality is full of glitches. Fix it please!,1
playback quality,"The playback quality works flawlessly, very impressed.",1
playback quality,The playback quality is functional but basic.,1
playback quality,playback quality is buggy and frustrating to use.,1
playback quality,I have mixed feelings about the playback quality.,1
playback quality,Needs improvement.,0
playback quality,I love the unlimited streaming! It works perfectly.,0
playback quality,"Disappointed with the different family members, needs improvement.",0
playback quality,"Disappointed with the your favorite shows, needs improvement.",0
playback quality,This app would be good if the review movies actually worked.,0
set profiles,The set profiles is functional but basic.,1
set profiles,I'm really enjoying the set profiles in this update.,1
set profiles,"Disappointed with the set profiles, needs improvement.",1
set profiles,I love the set profiles! It works perfectly.,1
set profiles,Can't get the set profiles to work properly. Uninstalling!,1
set profiles,"Disappointed with the personalized recommendations, needs improvement.",0
set profiles,This app has a great save data that makes everything easier.,0
set profiles,App keeps crashing on my phone.,0
set profiles,Needs improvement.,0
set profiles,Simple and easy to use.,0
any device,I have mixed feelings about the any device.,1
any device,This app has a great any device that makes everything easier.,1
any device,"Not sure about the any device, it's a bit hit or miss.",1
